,titulo,preco,quartos,area
368,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",2200.0,1.0,65.0
373,"Apartamento para locação, CENTRO, TOLEDO - PR ",2500.0,2.0,140.0
378,"Apartamento, CENTRO, TOLEDO - PR ",1200.0,1.0,38.04
380,"Apartamento, JARDIM CONCÓRDIA, TOLEDO - PR ",2000.0,2.0,102.46
381,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",2200.0,1.0,115.0
382,"Apartamento para locação, EDIFICIO SARTURI CENTRO, TOLEDO - PR ",2350.0,2.0,69.0
384,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,2.0,72.43
385,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2000.0,2.0,70.0
388,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",1300.0,2.0,66.0
389,"Apartamento para locação, VILA INDUSTRIAL, TOLEDO - PR ",1500.0,2.0,70.47
390,"Apartamento para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",1300.0,2.0,74.29
395,KITNET DISPONÍVEL PARA LOCAÇÃO NO JD. COOPAGRO - TOLEDO - PR,900.0,2.0,35.0
397,"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",1200.0,2.0,65.0
398,"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",1300.0,2.0,55.0
399,"Apartamento com 2 dormitórios para locação, Jardim La Salle, TOLEDO - PR",1550.0,2.0,73.16
401,"CASA  03 QUARTO PARA LOCAÇÃO, EXCELENTE VILA BECKER - TOLEDO PR",1600.0,3.0,600.0
402,SOBRADO COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,1600.0,1.0,62.0
403,"CASA NOVA COM 03 QUARTOS PARA LOCAÇÃO, JD. SÃO FRANCISCO - TOLEDO PR",1650.0,3.0,125.0
407,"CASA NOVA COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO, JD. COOPAGRO - TOLEDO PR",1900.0,1.0,125.0
408,"Casa para locação, Jardim Pancera, TOLEDO - PR",2000.0,3.0,105.0
411,CASA COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,2250.0,2.0,237.59
413,"APARTAMENTO SEMI MOBILIADO PARA LOCAÇÃO, CENTRO - TOLEDO PR",2500.0,1.0,118.0
417,"SOBRADO PARA LOCAÇÃO COM 01 SUÍTE E 02 QUARTOS, JD. COOPAGRO - TOLEDO PR",2500.0,2.0,110.0
1313,Apartamento semi-mobiliado  à venda e locação no  Centro de Toledo,2850.0,2.0,233.33
1361,"Casa para locação com 02 quartos e suite, Jardim Anápolis, TOLEDO - PR",2600.0,2.0,132.0
1364,"Apartamento para locação com 02 quartos, Vila Industrial, TOLEDO - PR",2500.0,2.0,80.0
1365,"Apartamento para locação com 02 quartos e cozinha, Vila Industrial, TOLEDO - PR",2500.0,2.0,70.0
1372,"Apartamento Mobiliado para locação, Vila Becker, TOLEDO - PR",2150.0,2.0,74.0
1375,"Apartamento para locação com 02 quartos, Jardim La Salle, TOLEDO - PR",2000.0,2.0,63.76
1377,"Casa para locação com 03 quartos, Vila Industrial, TOLEDO - PR",1900.0,3.0,95.0
1378,"Apartamento para locação, Jardim Porto Alegre, TOLEDO - PR",1900.0,2.0,58.0
1381,"Apartamento para locação, Vila Industrial, com condomínio incluso, TOLEDO - PR",1800.0,2.0,57.45
1383,"Apartamento com 1 dormitório para alugar, Centro Toledo/PR",1650.0,1.0,55.65
1384,"Casa para locação, Jardim Concórdia, TOLEDO - PR",1650.0,2.0,54.96
1385,Casa Semi Mobiliada com 02 quartos - 01 Bwc - Sala e cozinha integradas -,1600.0,2.0,103.0
1386,"Casa com 2 dormitórios para locação,135.00 m , Vila Operária, TOLEDO - PR",1600.0,1.0,135.0
1387,Apartamento com 02 quartos na Vila Industrial,1600.0,2.0,70.53
1388,"Casa com 2 dormitórios para alugar, 57 m² - Coopagro - Toledo/PR",1500.0,2.0,70.0
1389,"Casa com 2 dormitórios para alugar, 49 m²  - Vila Industrial",1500.0,2.0,83.73
1390,"Apartamento com 2 dormitórios para locação,76.00 m , TOLEDO - PR",1500.0,2.0,76.0
1394,"Apartamento para locação, Jardim Coopagro, TOLEDO - PR",1300.0,2.0,78.8
1396,"Casa com 2 dormitórios para locação, Jardim Alto Alegre, TOLEDO - PR",1300.0,1.0,55.0
1397,Apartamento com 2 quartos e ótima localização no Jardim Pancera - Toledo|PR,1200.0,2.0,83.47
1398,"Apartamento com 2 dormitórios, Jardim La Salle, TOLEDO - PR",1200.0,2.0,50.0
1400,"Apartamento com 2 dormitórios para alugar, Vila Industrial",1100.0,2.0,54.0
1401,"Apartamento com 2 dormitórios para alugar, 53 m²  - Panorama TOLEDO - PR",1050.0,2.0,58.85
1402,"Apartamento com 1 dormitório para alugar, 40 m² , Biopark - TOLEDO - PR",950.0,1.0,62.0
1404,Apartamento com 2 dormitórios para alugar - Vila Becker - Tole,950.0,2.0,60.0
