,titulo,preco,quartos,area
84,Apartamento Para Locação Em Ótima Localização,4300.0,2.0,130.0
85,Casa Comercial Para Locação Em Excelente Localização,4400.0,3.0,267.0
86,Casa Com Píscina Aquecida  Para Locação,4400.0,2.0,300.0
87,Sala Comercial Ampla Para Locação Em Ótima Localização,4400.0,0.0,110.0
88,Casa Ampla Para Locação Em Excelente Localização Na Vila Industrial,4500.0,2.0,160.0
89,Barracão Com 300M  Para Locação,4500.0,0.0,300.0
90,Apartamento Mobiliado Com 03 Dormitórios,4500.0,2.0,170.0
91,Sala Comercial Ampla Para Locação No Edifício Atlântico,4600.0,0.0,135.0
92,Sala Comercial Ampla No Edifício Corporativo Taipas,4700.0,0.0,98.0
93,Sala Comercial Com Mezanino Para Locação,4900.0,0.0,160.0
94,Apartamento Semi Mobiliado No Edifício Vancouver Para Locação,4950.0,0.0,130.0
95,Sala Comercial Para Locação Em Excelente Localização,5000.0,0.0,32.0
96,Sala Comercial Para Locação Em Excelente Localização,5000.0,0.0,32.0
97,Casa Para Locação Em Excelente Localização No Jardim Tocantins,5000.0,2.0,184.0
98,Sala Comercial Para Locação Em Excelente Localização,5000.0,0.0,32.0
99,Barracão Para Locação,5500.0,0.0,500.0
100,Apartamento Semi-Mobiliado,5500.0,2.0,190.0
101,Sobrado Com Excelente Localização Para Locação,5600.0,0.0,160.0
102,Sala Comercial Ampla Disponível Para Locação Na Vila Pioneiro,5700.0,0.0,200.0
103,Sala Comercial Ampla Para Locação No Jardim Porto Alegre,5800.0,0.0,265.0
104,Sala Comercial Nova Com Mezanino Para Locação Na Vila Pioneiro,5800.0,0.0,193.0
105,Sala Comercial Nova Com Mezanino Para Locação Na Vila Pioneiro,5800.0,0.0,193.0
106,Apartamento Para Locação No Edifício Downtown,5800.0,0.0,244.0
107,Sala Comercial Ampla Para Locação Em Excelente Localização,5900.0,0.0,125.0
108,Casa Ampla Para Locação Em Ótima Localização No Jardim Pancera,6325.0,2.0,217.0
109,Barracão Amplo Para Locação,6500.0,0.0,447.0
110,Barracão Com Mezanino Para Locação,6500.0,0.0,445.0
111,Barracão Amplo Para Locação Em Excelente Localização,6500.0,0.0,424.0
112,Barracão Para Locação Com Excelente Localização,6600.0,0.0,360.0
113,Barracão Para Locação Na Avenida Maripá,6690.0,0.0,200.0
114,Barracão Amplo Para Locação Em Ótima Localização,6800.0,0.0,340.0
115,Barracão Para Locação Na Avenida Maripá,6900.0,0.0,294.0
116,Barracão Amplo Para Locação Em Ótima Localização,7000.0,0.0,400.0
117,Duas Salas Comerciais No Corporativo Taipas Para Locação,7400.0,0.0,75.0
118,Sala Comercial Ampla Para Locação Em Ótima Localização,7900.0,0.0,191.0
119,Barracão Comercial Amplo Com Mezanino Para Locação No Centro,8000.0,0.0,250.0
120,Sala Comercial Ampla Para Locação Em Ótima Localização,8500.0,0.0,299.0
121,Barracão Amplo Para Locação,8900.0,0.0,440.0
122,Barracão Amplo Para Locação Em Ótima Localização,9000.0,0.0,404.0
123,Casa De Alto Padrão Para Locação,9000.0,3.0,264.0
124,Sala Comercial Com Ótima Localização Para Locação No Centro,9000.0,0.0,285.0
125,Sala Comercial Para Locação Em Região Privilegiada Da Cidade Centro,9500.0,0.0,703.0
126,Sala Comercial Ampla Para Locação Em Excelente Localização,9900.0,0.0,167.0
127,Sala Comercial Edifício Luxor Para Locação,10000.0,0.0,223.0
128,Sala Comercial Com Barracão Amplo Para Locação,10000.0,0.0,1241.0
129,Sobrado Com Excelente Localização Para Locação,11000.0,0.0,553.0
130,Barracão Com Excelente Localização Para Locação,12000.0,0.0,800.0
131,Casa Com 4 Dormitórios Para Locação,12000.0,3.0,80.0
132,Sala Comercial Para Locação,12000.0,0.0,300.0
133,Sala Comercial Com Excelente Localização Para Locação,12000.0,1.0,440.0
134,Sobrado De Alto Padrão Para Locação,12089.0,6.0,104.0
135,Barracão Amplo Para Locação Em Ótima Localização,13000.0,0.0,550.0
136,Barracão Comercial Amplo Para Locação No Centro,13000.0,0.0,440.0
137,Sala Comercial Ampla Para Locação Em Ótima Localização,13000.0,0.0,550.0
138,Sala Comercial Ampla Para Locação Em Ótima Localização,18000.0,0.0,750.0
139,Barracão Amplo Para Locação Em Ótima Localização,22497.0,0.0,1200.0
140,Sala Comercial Muito Ampla Para Locação No Centro De Toledo-Pr,23000.0,0.0,992.0
141,Barracão Muito Amplo Para Locação No Centro De Toledo-Pr,23000.0,0.0,992.0
142,Sala Comercial Ampla Para Locação,80700.0,0.0,1608.0
143,APARTAMENTO BAIRRO VILA BECKER ,1300.0,2.0,83.0
144,APARTAMENTO CENTRO ,3300.0,0.0,219.0
145,APARTAMENTO BAIRRO CENTRO ,1850.0,2.0,80.29
147,CASA BAIRRO CENTRO ,5500.0,2.0,507.5
148,TERRENO BAIRRO CENTRO ,4000.0,0.0,900.0
149,BARRACÃO BAIRRO CENTRO ,3500.0,0.0,170.0
150,SALA COMERCIAL NA VILA PIONEIRO. ,5700.0,0.0,200.0
151,SALA COMERCIAL CENTRO ,4000.0,0.0,160.0
152,"Sobrado para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,2.0,495.0
153,SOBRADO BAIRRO JARDIM PORTO ALEGRE ,3500.0,3.0,200.0
154,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4500.0,0.0,150.0
155,"Sala Comercial para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,0.0,200.0
156,"Barracão para fábricas, indústrias, depósitos para locação, em TOLEDO - PR ",12000.0,0.0,800.0
157,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2370.0,0.0,60.0
158,TERRENO NO JARDIM PANCERA ,3500.0,0.0,2046.87
161,"Sala Comercial para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,0.0,223.5
